Variable,FeatureOrMeta,SubgroupAnalysis,FeatureCategory
Number of liver and pancreatic disorders diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of medical and device complications diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of meningitis and encephalitis diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of mental disorders diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of mycoses diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of myocardial infarction diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of nervous system disorders diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of pleurisy diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of pneumonia diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of renal and bladder disorders diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of respiratory disorders diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of respiratory failure and arrest diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of septicaemia and shock diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of skin and subcutaenous disorders diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
"Number of spinal, skull and face fractures and trauma diagnosis within 365 days before index date (Yes/No)",Feature,No,Specific comorbidities
Number of thyroid and endocrine disorders diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Number of tuberculosis diagnosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of abdominal disorders within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of acute renal failure within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of allergies and poisoning within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of anaemia and diseases of white blood cells within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
"Diagnosis of aortic, venous and lymphatic disorders within 365 days before index date (Yes/No)",Feature,No,Specific comorbidities
Diagnosis of arthritis and joint disorders within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of bacterial infection within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of bronchitis and asthma within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of cancers within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of cardiac disorders within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of congestive heart failure within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of diabetes mellitus within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of fever within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
"Diagnosis of fluid disorders, nauea and vomiting within 365 days before index date (Yes/No)",Feature,No,Specific comorbidities
Diagnosis of gastrointestinal and esophageal disorders within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of gastrointestinal disorders within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of genitourinary disorders within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of hiv and other infections within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of immunity and hematologic disorders within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of infective arthritis and osteomyelitis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
"Diagnosis of influenza, tonsilitis and urti within 365 days before index date (Yes/No)",Feature,No,Specific comorbidities
Diagnosis of injuries due to external causes within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of intestinal infection within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
"Diagnosis of ischemia, brain damage and coma within 365 days before index date (Yes/No)",Feature,No,Specific comorbidities
Diagnosis of liver and pancreatic disorders within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of medical and device complications within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of meningitis and encephalitis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of mental disorders within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of mycoses within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of myocardial infarction within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of nervous system disorders within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of pleurisy within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of pneumonia within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of renal and bladder disorders within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of respiratory disorders within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of respiratory failure and arrest within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of septicaemia and shock within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of skin and subcutaenous disorders within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
"Diagnosis of spinal, skull and face fractures and trauma within 365 days before index date (Yes/No)",Feature,No,Specific comorbidities
Diagnosis of thyroid and endocrine disorders within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Diagnosis of tuberculosis within 365 days before index date (Yes/No),Feature,No,Specific comorbidities
Had acute and general medicine within current admission (Yes/No),Feature,No,Admission specialty
Had acute and general surgery within current admission (Yes/No),Feature,No,Admission specialty
Had medical subspecialty within current admission (Yes/No),Feature,No,Admission specialty
Had other specialty within current admission (Yes/No),Feature,No,Admission specialty
Had surgical subspecialty within current admission (Yes/No),Feature,No,Admission specialty
Number of acute and general medicine 365 days before index date (Yes/No),Feature,No,Admission specialty
Number of acute and general surgery 365 days before index date (Yes/No),Feature,No,Admission specialty
Number of medical subspecialty 365 days before index date (Yes/No),Feature,No,Admission specialty
Number of other specialty 365 days before index date (Yes/No),Feature,No,Admission specialty
Number of surgical subspecialty 365 days before index date (Yes/No),Feature,No,Admission specialty
Had acute and general medicine 365 days before index date (Yes/No),Feature,No,Admission specialty
Had acute and general surgery 365 days before index date (Yes/No),Feature,No,Admission specialty
Had medical subspecialty 365 days before index date (Yes/No),Feature,No,Admission specialty
Had other specialty 365 days before index date (Yes/No),Feature,No,Admission specialty
Had surgical subspecialty 365 days before index date (Yes/No),Feature,No,Admission specialty
"Time elapsed since most recent acute and general surgery 365 days before index date, day",Feature,No,Admission specialty
"Time elapsed since most recent surgical subspecialty 365 days before index date, day",Feature,No,Admission specialty
"Time elapsed since most recent other specialty 365 days before index date, day",Feature,No,Admission specialty
"Time elapsed since most recent medical subspecialty 365 days before index date, day",Feature,No,Admission specialty
"Time elapsed since most recent acute and general medicine 365 days before index date, day",Feature,No,Admission specialty
"Time elapsed since most recent procedure before index date, day",Feature,No,Procedures
"Time elapsed since most recent radiology procedure before index date, day",Feature,No,Radiology investigations
"Time elapsed since most recent theatre use before index date, day",Feature,No,Operating theatre visits
"Time elapsed since most recent ward start before index date, day",Feature,No,Ward stay data
Number of procedures 24 hours before index date,Feature,No,Procedures
Had procedure 24 hours before index date (Yes/No),Feature,No,Procedures
Number of radiology procedures 24 hours before index date,Feature,No,Radiology investigations
Had radiology procedure 24 hours before index date (Yes/No),Feature,No,Radiology investigations
Number of theatre use 24 hours before index date,Feature,No,Operating theatre visits
Had theatre use 24 hours before index date (Yes/No),Feature,No,Operating theatre visits
Number of ward use 24 hours before index date,Feature,No,Ward stay data
Had ward use 24 hours before index date (Yes/No),Feature,No,Ward stay data
Number of procedures 48 hours before index date,Feature,No,Procedures
Had procedure 48 hours before index date (Yes/No),Feature,No,Procedures
Number of radiology procedures 48 hours before index date,Feature,No,Radiology investigations
Had radiology procedure 48 hours before index date (Yes/No),Feature,No,Radiology investigations
Number of theatre use 48 hours before index date,Feature,No,Operating theatre visits
Had theatre use 48 hours before index date (Yes/No),Feature,No,Operating theatre visits
Number of ward use 48 hours before index date,Feature,No,Ward stay data
Had ward use 48 hours before index date (Yes/No),Feature,No,Ward stay data
Number of procedures 8760 hours before index date,Feature,No,Procedures
Had procedure 8760 hours before index date (Yes/No),Feature,No,Procedures
Number of radiology procedures 8760 hours before index date,Feature,No,Radiology investigations
Had radiology procedure 8760 hours before index date (Yes/No),Feature,No,Radiology investigations
Number of theatre use 8760 hours before index date,Feature,No,Operating theatre visits
Had theatre use 8760 hours before index date (Yes/No),Feature,No,Operating theatre visits
Number of ward use 8760 hours before index date,Feature,No,Ward stay data
Had ward use 8760 hours before index date (Yes/No),Feature,No,Ward stay data
"Time elapsed since most recent DNACPR before index date, hour",Feature,No,Previous hospital exposure
Had DNACPR before index date (Yes/No),Feature,No,Previous hospital exposure
"Time elapsed since most recent Oxygen saturation before index date, hour",Feature,No,Vital signs
Number of Oxygen saturation tested 24 hours before index date,Feature,No,Vital signs
Had Oxygen saturation tested 24 hours before index date (Yes/No),Feature,No,Vital signs
Maximum Oxygen saturation 24 hours before index date,Feature,No,Vital signs
Minimum Oxygen saturation 24 hours before index date,Feature,No,Vital signs
Mean Oxygen saturation 24 hours before index date,Feature,No,Vital signs
Median Oxygen saturation 24 hours before index date,Feature,No,Vital signs
SD of Oxygen saturation 24 hours before index date,Feature,No,Vital signs
Number of Oxygen saturation tested 48 hours before index date,Feature,No,Vital signs
Had Oxygen saturation tested 48 hours before index date (Yes/No),Feature,No,Vital signs
Maximum Oxygen saturation 48 hours before index date,Feature,No,Vital signs
Minimum Oxygen saturation 48 hours before index date,Feature,No,Vital signs
Mean Oxygen saturation 48 hours before index date,Feature,No,Vital signs
Median Oxygen saturation 48 hours before index date,Feature,No,Vital signs
SD of Oxygen saturation 48 hours before index date,Feature,No,Vital signs
Number of Oxygen saturation tested 8760 hours before index date,Feature,No,Vital signs
Had Oxygen saturation tested 8760 hours before index date (Yes/No),Feature,No,Vital signs
"Time elapsed since most recent Diastolic blood pressure before index date, hour",Feature,No,Vital signs
Number of Diastolic blood pressure tested 24 hours before index date,Feature,No,Vital signs
Had Diastolic blood pressure tested 24 hours before index date (Yes/No),Feature,No,Vital signs
Maximum Diastolic blood pressure 24 hours before index date,Feature,No,Vital signs
Minimum Diastolic blood pressure 24 hours before index date,Feature,No,Vital signs
Mean Diastolic blood pressure 24 hours before index date,Feature,No,Vital signs
Median Diastolic blood pressure 24 hours before index date,Feature,No,Vital signs
SD of Diastolic blood pressure 24 hours before index date,Feature,No,Vital signs
Number of Diastolic blood pressure tested 48 hours before index date,Feature,No,Vital signs
Had Diastolic blood pressure tested 48 hours before index date (Yes/No),Feature,No,Vital signs
Maximum Diastolic blood pressure 48 hours before index date,Feature,No,Vital signs
Minimum Diastolic blood pressure 48 hours before index date,Feature,No,Vital signs
Mean Diastolic blood pressure 48 hours before index date,Feature,No,Vital signs
Median Diastolic blood pressure 48 hours before index date,Feature,No,Vital signs
SD of Diastolic blood pressure 48 hours before index date,Feature,No,Vital signs
Number of Diastolic blood pressure tested 8760 hours before index date,Feature,No,Vital signs
Had Diastolic blood pressure tested 8760 hours before index date (Yes/No),Feature,No,Vital signs
"Time elapsed since most recent Systolic blood pressure before index date, hour",Feature,No,Vital signs
Number of Systolic blood pressure tested 24 hours before index date,Feature,No,Vital signs
Had Systolic blood pressure tested 24 hours before index date (Yes/No),Feature,No,Vital signs
Maximum Systolic blood pressure 24 hours before index date,Feature,No,Vital signs
Minimum Systolic blood pressure 24 hours before index date,Feature,No,Vital signs
Mean Systolic blood pressure 24 hours before index date,Feature,No,Vital signs
Median Systolic blood pressure 24 hours before index date,Feature,No,Vital signs
SD of Systolic blood pressure 24 hours before index date,Feature,No,Vital signs
Number of Systolic blood pressure tested 48 hours before index date,Feature,No,Vital signs
Had Systolic blood pressure tested 48 hours before index date (Yes/No),Feature,No,Vital signs
Maximum Systolic blood pressure 48 hours before index date,Feature,No,Vital signs
Minimum Systolic blood pressure 48 hours before index date,Feature,No,Vital signs
Mean Systolic blood pressure 48 hours before index date,Feature,No,Vital signs
Median Systolic blood pressure 48 hours before index date,Feature,No,Vital signs
SD of Systolic blood pressure 48 hours before index date,Feature,No,Vital signs
Number of Systolic blood pressure tested 8760 hours before index date,Feature,No,Vital signs
Had Systolic blood pressure tested 8760 hours before index date (Yes/No),Feature,No,Vital signs
"Time elapsed since most recent Heart rate before index date, hour",Feature,No,Vital signs
Number of Heart rate tested 24 hours before index date,Feature,No,Vital signs
Had Heart rate tested 24 hours before index date (Yes/No),Feature,No,Vital signs
Maximum Heart rate 24 hours before index date,Feature,No,Vital signs
Minimum Heart rate 24 hours before index date,Feature,No,Vital signs
Mean Heart rate 24 hours before index date,Feature,No,Vital signs
Median Heart rate 24 hours before index date,Feature,No,Vital signs
SD of Heart rate 24 hours before index date,Feature,No,Vital signs
Number of Heart rate tested 48 hours before index date,Feature,No,Vital signs
Had Heart rate tested 48 hours before index date (Yes/No),Feature,No,Vital signs
Maximum Heart rate 48 hours before index date,Feature,No,Vital signs
Minimum Heart rate 48 hours before index date,Feature,No,Vital signs
Mean Heart rate 48 hours before index date,Feature,No,Vital signs
Median Heart rate 48 hours before index date,Feature,No,Vital signs
SD of Heart rate 48 hours before index date,Feature,No,Vital signs
Number of Heart rate tested 8760 hours before index date,Feature,No,Vital signs
Had Heart rate tested 8760 hours before index date (Yes/No),Feature,No,Vital signs
"Time elapsed since most recent Respiratory rate before index date, hour",Feature,No,Vital signs
Number of Respiratory rate tested 24 hours before index date,Feature,No,Vital signs
Had Respiratory rate tested 24 hours before index date (Yes/No),Feature,No,Vital signs
Maximum Respiratory rate 24 hours before index date,Feature,No,Vital signs
Minimum Respiratory rate 24 hours before index date,Feature,No,Vital signs
Mean Respiratory rate 24 hours before index date,Feature,No,Vital signs
Median Respiratory rate 24 hours before index date,Feature,No,Vital signs
SD of Respiratory rate 24 hours before index date,Feature,No,Vital signs
Number of Respiratory rate tested 48 hours before index date,Feature,No,Vital signs
Had Respiratory rate tested 48 hours before index date (Yes/No),Feature,No,Vital signs
Maximum Respiratory rate 48 hours before index date,Feature,No,Vital signs
Minimum Respiratory rate 48 hours before index date,Feature,No,Vital signs
Mean Respiratory rate 48 hours before index date,Feature,No,Vital signs
Median Respiratory rate 48 hours before index date,Feature,No,Vital signs
SD of Respiratory rate 48 hours before index date,Feature,No,Vital signs
Number of Respiratory rate tested 8760 hours before index date,Feature,No,Vital signs
Had Respiratory rate tested 8760 hours before index date (Yes/No),Feature,No,Vital signs
"Time elapsed since most recent Temperature before index date, hour",Feature,No,Vital signs
Number of Temperature tested 24 hours before index date,Feature,No,Vital signs
Had Temperature tested 24 hours before index date (Yes/No),Feature,No,Vital signs
